word_count,duration_seconds,words_per_minute,filler_ratio,unique_ratio,avg_word_length,speech_confidence,repetition_ratio,pause_count,keyword_score,pattern_score,fluency_score,accuracy_score
59.0,14.7,240.81,0.0618,0.4301,4.661,0.8415,0.0985,1.0,77.73,36.41,63.71,68.12
22.0,18.15,72.74,0.1118,0.4864,4.393,0.3723,0.1959,7.0,53.42,49.11,48.99,48.34
65.0,18.11,215.34,0.0226,0.4494,4.437,0.7391,0.097,0.0,86.44,46.29,71.58,74.47
70.0,31.33,134.08,0.0268,0.7511,5.653,0.9549,0.035,1.0,79.37,94.13,88.64,87.97
31.0,29.53,63.0,0.081,0.5561,4.992,0.5827,0.1787,3.0,60.13,35.65,54.91,56.41
32.0,24.74,77.61,0.1871,0.5104,4.623,0.5438,0.1583,5.0,38.68,16.39,46.51,34.11
11.0,7.02,94.08,0.0481,0.5174,4.538,0.6648,0.0757,2.0,34.0,26.57,69.54,36.13
34.0,13.26,153.89,0.0185,0.6684,4.467,0.8852,0.0076,0.0,90.89,80.62,87.26,86.89
67.0,37.75,106.49,0.0877,0.7526,5.407,0.7959,0.0413,1.0,80.86,70.04,71.52,76.53
55.0,23.04,143.23,0.0081,0.7118,5.414,0.9016,0.0088,2.0,95.7,91.55,89.93,93.33
11.0,11.31,58.38,0.1382,0.3325,5.045,0.5229,0.1262,6.0,31.5,19.65,38.62,29.09
24.0,18.31,78.64,0.0832,0.6076,4.774,0.5188,0.1896,5.0,28.72,36.9,56.71,33.0
59.0,29.94,118.24,0.0612,0.6117,4.951,0.6061,0.0861,2.0,78.16,41.31,66.43,61.4
29.0,12.43,139.98,0.0761,0.5123,4.439,0.8565,0.0384,3.0,46.38,59.97,73.03,61.1
26.0,13.45,116.0,0.0609,0.5568,6.179,0.8621,0.0332,4.0,46.66,54.58,72.93,61.84
21.0,9.97,126.32,0.0516,0.7088,4.135,0.6647,0.0574,5.0,8.5,29.87,69.15,22.83
32.0,14.64,131.13,0.0072,0.7998,6.121,0.9637,0.0098,2.0,79.31,92.21,89.63,86.36
38.0,17.5,130.27,0.0271,0.6565,5.652,0.8863,0.0347,0.0,87.43,71.99,89.08,78.75
54.0,19.99,162.1,0.0159,0.7103,5.989,0.8826,0.0331,0.0,98.67,75.03,87.06,89.75
39.0,38.61,60.61,0.1387,0.6099,5.597,0.5586,0.2106,3.0,61.2,36.03,50.73,55.7
35.0,10.49,200.12,0.0518,0.5939,4.592,0.8037,0.0843,2.0,59.8,48.71,70.13,55.09
44.0,23.36,113.02,0.0748,0.725,5.709,0.6295,0.0253,1.0,66.99,41.58,70.89,57.31
39.0,21.29,109.93,0.0354,0.4462,5.055,0.4085,0.0255,1.0,11.46,2.14,72.14,14.82
69.0,27.95,148.13,0.0811,0.493,4.566,0.6508,0.0389,3.0,54.23,60.71,69.41,55.14
26.0,6.36,245.11,0.0259,0.6699,5.199,0.8159,0.1182,0.0,78.5,68.97,67.86,75.76
19.0,12.77,89.3,0.1448,0.4355,4.567,0.5738,0.1173,6.0,31.29,36.5,53.94,33.57
55.0,27.3,120.87,0.0711,0.5691,4.899,0.8657,0.0933,2.0,62.79,49.78,80.14,64.7
53.0,14.06,226.14,0.0373,0.6352,5.12,0.5708,0.0925,1.0,81.31,36.61,67.88,67.62
60.0,27.59,130.5,0.0384,0.8603,4.109,0.9047,0.0391,2.0,93.85,98.11,82.27,92.52
14.0,10.83,77.6,0.1601,0.4598,5.079,0.5329,0.1869,4.0,60.97,37.15,44.55,53.58
72.0,28.55,151.31,0.0167,0.8523,4.157,0.921,0.0167,0.0,96.95,91.69,90.27,93.85
87.0,32.13,162.45,0.0175,0.735,4.742,0.9332,0.0276,0.0,98.08,92.31,88.91,99.27
70.0,21.8,192.7,0.071,0.6039,4.672,0.5427,0.0829,2.0,72.93,30.62,60.74,51.9
33.0,16.98,116.61,0.0851,0.7144,5.743,0.631,0.0998,2.0,77.53,47.78,73.4,65.54
70.0,33.29,126.16,0.0096,0.6629,3.501,0.9431,0.0099,2.0,97.32,87.97,85.32,96.21
44.0,40.9,64.54,0.1989,0.3372,5.746,0.6303,0.2099,7.0,59.74,46.42,35.85,60.2
11.0,10.78,61.21,0.1828,0.3779,3.553,0.4448,0.1794,8.0,69.11,42.52,31.9,57.1
32.0,18.8,102.12,0.0292,0.4734,5.003,0.792,0.0659,4.0,34.01,25.46,71.17,44.27
38.0,16.46,138.49,0.069,0.7622,3.734,0.6416,0.0607,3.0,59.95,56.34,77.1,60.12
49.0,22.01,133.6,0.0681,0.6035,3.501,0.7145,0.0374,2.0,66.77,49.27,75.15,67.92
21.0,9.61,131.12,0.0721,0.6744,4.608,0.7827,0.0453,3.0,74.13,59.71,76.12,78.14
37.0,24.54,90.46,0.2089,0.4711,4.784,0.5321,0.192,7.0,39.15,52.68,42.8,48.29
69.0,20.37,203.24,0.04,0.4554,5.798,0.6099,0.0968,0.0,40.7,71.36,72.47,57.25
32.0,27.59,69.6,0.2142,0.6186,4.486,0.6202,0.1235,3.0,55.94,46.74,46.31,53.95
74.0,33.75,131.55,0.0066,0.8709,3.796,0.9877,0.0278,1.0,95.17,99.66,97.11,96.0
79.0,33.3,142.35,0.0188,0.6652,4.218,0.818,0.0454,2.0,71.34,73.15,83.59,77.45
16.0,8.47,113.4,0.0806,0.6713,4.427,0.7818,0.0736,1.0,73.23,37.61,76.65,64.81
39.0,9.96,234.96,0.0711,0.5615,4.797,0.8183,0.0828,1.0,80.81,47.03,61.57,67.54
69.0,30.74,134.7,0.0407,0.5817,4.261,0.6536,0.022,4.0,79.32,55.17,70.44,68.6
25.0,11.12,134.86,0.0889,0.6661,6.097,0.7337,0.0809,3.0,78.42,67.43,72.76,70.68
59.0,24.82,142.6,0.0221,0.8162,5.5,0.9837,0.0492,2.0,78.65,90.68,88.99,81.49
59.0,24.48,144.59,0.0394,0.7595,4.955,0.9854,0.0206,2.0,93.81,67.97,86.29,88.11
34.0,9.75,209.23,0.0229,0.435,5.47,0.7364,0.0942,0.0,77.14,73.27,72.71,75.93
21.0,8.56,147.2,0.0303,0.6344,5.281,0.7896,0.0224,3.0,59.85,75.3,78.79,61.38
58.0,29.89,116.44,0.0654,0.5991,4.357,0.677,0.0909,4.0,51.94,38.82,64.3,52.99
41.0,20.75,118.56,0.0337,0.6299,5.963,0.799,0.0901,2.0,27.02,15.69,83.89,33.45
20.0,10.8,111.11,0.0311,0.616,5.505,0.7777,0.0475,1.0,60.55,78.16,75.34,68.6
29.0,15.43,112.77,0.1109,0.6118,4.076,0.6969,0.0791,2.0,29.18,11.98,70.0,32.83
10.0,4.64,129.3,0.0992,0.7135,5.681,0.5754,0.0676,2.0,41.8,26.98,69.94,38.9
38.0,17.66,129.08,0.0261,0.9066,3.688,0.8877,0.0216,1.0,71.08,98.59,86.82,76.46
89.0,36.66,145.64,0.0125,0.6353,3.98,0.8034,0.0192,1.0,71.82,89.44,89.06,78.5
24.0,13.56,106.16,0.0818,0.4804,5.586,0.7423,0.0592,1.0,57.32,54.41,65.79,59.48
48.0,22.79,126.39,0.071,0.5485,5.392,0.6926,0.0944,1.0,46.8,55.73,74.01,55.8
29.0,13.88,125.37,0.0075,0.6294,5.053,0.8032,0.031,2.0,77.25,84.92,76.71,80.62
36.0,21.3,101.39,0.0973,0.7422,6.157,0.5017,0.1119,4.0,21.81,24.14,66.27,25.47
45.0,20.29,133.04,0.043,0.6042,3.453,0.6889,0.0262,4.0,46.1,50.59,73.68,48.26
38.0,11.09,205.61,0.0734,0.59,4.82,0.5441,0.0429,2.0,73.27,38.65,59.39,58.27
62.0,25.07,148.39,0.0051,0.8892,3.541,0.9649,0.0268,2.0,88.65,74.56,89.17,87.24
44.0,47.37,55.73,0.1634,0.3894,4.509,0.6559,0.1155,8.0,52.48,39.91,41.79,54.94
17.0,10.81,94.34,0.1387,0.4744,3.663,0.3544,0.1914,7.0,48.41,33.36,46.84,39.79
25.0,16.05,93.46,0.105,0.3799,5.454,0.6506,0.2078,3.0,34.55,36.14,56.56,41.25
11.0,7.83,84.25,0.1896,0.491,3.68,0.3866,0.2066,7.0,63.95,50.91,44.07,60.23
41.0,17.56,140.09,0.0288,0.8863,4.546,0.8629,0.016,2.0,88.26,85.33,92.06,85.84
19.0,9.44,120.75,0.0536,0.5193,4.082,0.6456,0.0748,1.0,57.56,77.97,68.9,65.32
27.0,15.56,104.15,0.0386,0.6088,6.086,0.5874,0.0459,2.0,6.67,19.26,71.85,15.44
42.0,18.42,136.79,0.0306,0.883,3.601,0.9693,0.0492,0.0,99.47,98.35,93.13,100.0
23.0,15.53,88.83,0.1663,0.4827,5.036,0.4079,0.1155,3.0,32.21,53.34,45.81,42.12
61.0,25.81,141.8,0.0763,0.542,4.141,0.8636,0.0297,2.0,78.16,39.52,74.68,65.18
